date,thread_id,title,messages,url
2026-01-08,T-019b9eed-cc25-748e-a3f9-f95b988d2eca,Faster svelte-check in Zig implementation,214,https://ampcode.com/threads/T-019b9eed-cc25-748e-a3f9-f95b988d2eca
2026-01-08,T-019b9f06-f865-74c6-b51d-7d839601ac20,Source map position translation for tsgo errors,34,https://ampcode.com/threads/T-019b9f06-f865-74c6-b51d-7d839601ac20
2026-01-08,T-019b9f09-b62e-7552-9344-b5341d755d20,Why not combine TypeScript typechecker and formatter,6,https://ampcode.com/threads/T-019b9f09-b62e-7552-9344-b5341d755d20
2026-01-08,T-019b9f09-21c9-7638-ac54-a8f90853faf5,Implement parallel file processing with thread pool,62,https://ampcode.com/threads/T-019b9f09-21c9-7638-ac54-a8f90853faf5
2026-01-08,T-019b9f0c-d565-7359-a133-da3e62d66539,Implement a11y diagnostics module for accessibility checks,64,https://ampcode.com/threads/T-019b9f0c-d565-7359-a133-da3e62d66539
2026-01-08,T-019b9f10-8efc-7542-89be-b8fecc878f1a,Implement unused CSS diagnostics task 727,56,https://ampcode.com/threads/T-019b9f10-8efc-7542-89be-b8fecc878f1a
2026-01-08,T-019b9f14-03d1-718d-affd-c4574a2e46ac,Improve Svelte to TypeScript transformation,135,https://ampcode.com/threads/T-019b9f14-03d1-718d-affd-c4574a2e46ac
2026-01-08,T-019b9f21-f3d8-707b-952e-0e3fa278ad8b,Port a11y test fixtures from svelte-check-rs,39,https://ampcode.com/threads/T-019b9f21-f3d8-707b-952e-0e3fa278ad8b
2026-01-08,T-019b9f26-0e50-771d-b6f1-6938a6b59f05,Implement remaining a11y diagnostic rules,34,https://ampcode.com/threads/T-019b9f26-0e50-771d-b6f1-6938a6b59f05
2026-01-08,T-019b9f29-9f73-7325-8831-feea0bad1503,Implement svelte-ignore pragma support,102,https://ampcode.com/threads/T-019b9f29-9f73-7325-8831-feea0bad1503
2026-01-08,T-019b9f30-afa8-77be-a809-2d3b515eaf46,Port SvelteKit project fixture structure,30,https://ampcode.com/threads/T-019b9f30-afa8-77be-a809-2d3b515eaf46
2026-01-08,T-019b9f32-7d1f-71df-a884-12df04666c4a,Port valid test fixtures for zero diagnostics,28,https://ampcode.com/threads/T-019b9f32-7d1f-71df-a884-12df04666c4a
2026-01-08,T-019b9f35-65d3-7069-9353-241a1a788aa5,Fix memory leak in workspace.walkDir,22,https://ampcode.com/threads/T-019b9f35-65d3-7069-9353-241a1a788aa5
2026-01-08,T-019b9f36-b388-76ca-9153-d70b9de543f9,Implement Svelte 5 syntax parsing enhancements,46,https://ampcode.com/threads/T-019b9f36-b388-76ca-9153-d70b9de543f9
2026-01-08,T-019b9f39-eabd-7615-930e-429436829922,Improve TS transformation for Svelte 5 runes,71,https://ampcode.com/threads/T-019b9f39-eabd-7615-930e-429436829922
2026-01-08,T-019b9f77-30f2-74cf-9f6b-f3c00b6ac2f6,SvelteKit route detection and type support,66,https://ampcode.com/threads/T-019b9f77-30f2-74cf-9f6b-f3c00b6ac2f6
2026-01-08,T-019b9f7a-dffa-73ba-9043-3e90e197d42e,Port TypeScript test fixtures for diagnostics,28,https://ampcode.com/threads/T-019b9f7a-dffa-73ba-9043-3e90e197d42e
2026-01-08,T-019b9f7c-b2da-72db-b59a-dd59e7ea9b5d,Port CSS test fixtures for svelte-check,27,https://ampcode.com/threads/T-019b9f7c-b2da-72db-b59a-dd59e7ea9b5d
2026-01-08,T-019b9f7e-560c-77a9-9891-5d62160ee1c8,Integration test harness for svelte-check-zig,76,https://ampcode.com/threads/T-019b9f7e-560c-77a9-9891-5d62160ee1c8
2026-01-08,T-019b9faa-3b4e-77e9-92f8-13d9c866b417,Implement unused-export-let component diagnostic,54,https://ampcode.com/threads/T-019b9faa-3b4e-77e9-92f8-13d9c866b417
2026-01-08,T-019b9fae-3fc4-74fb-afd0-fd10109cea4a,Project status with no ready tasks,24,https://ampcode.com/threads/T-019b9fae-3fc4-74fb-afd0-fd10109cea4a
2026-01-08,T-019b9fb1-fba7-701f-8348-120991b93d44,Fix duplicate Snippet identifier in transformer,74,https://ampcode.com/threads/T-019b9fb1-fba7-701f-8348-120991b93d44
